player,team,team_country,position,primary_position,age,club,games,games_starts,minutes,goals,assists,shots,shots_on_target,interceptions,tackles_won,goals_per90_calc,assists_per90_calc,shots_per90_calc,shots_on_target_per90_calc,interceptions_per90_calc,tackles_won_per90_calc,goal_contribution_per90,player_rating_100,player_cluster
Rayan Aït-Nouri,Algeria,Algeria,DF,DF,25,Manchester City,4,3,284.0,0.0,0.0,1.0,0.0,5.0,13.0,0.0,0.0,0.31690140845070425,0.0,1.5845070422535212,4.119718309859155,0.0,48.052176696542894,0.0
Harry Kane,England,England,FW,FW,32,Bayern Munich,7,7,652.0,6.0,1.0,23.0,12.0,1.0,3.0,0.8282208588957056,0.13803680981595093,3.174846625766871,1.6564417177914113,0.13803680981595093,0.4141104294478528,0.9662576687116565,47.10322752734063,1.0
Mikel Oyarzabal,Spain,Spain,FW,FW,29,Real Sociedad,8,8,601.0,5.0,1.0,23.0,12.0,1.0,5.0,0.7487520798668885,0.1497504159733777,3.4442595673876872,1.7970049916805324,0.1497504159733777,0.7487520798668885,0.8985024958402662,46.6854758976585,1.0
Lautaro Martínez,Argentina,Argentina,FW,FW,28,Inter,7,4,310.0,3.0,1.0,10.0,4.0,1.0,1.0,0.8709677419354839,0.2903225806451613,2.903225806451613,1.1612903225806452,0.2903225806451613,0.2903225806451613,1.1612903225806452,46.09817671809257,1.0
Crysencio Summerville,Netherlands,Netherlands,FW,FW,24,West Ham,4,2,253.0,2.0,2.0,2.0,2.0,2.0,2.0,0.7114624505928854,0.7114624505928854,0.7114624505928854,0.7114624505928854,0.7114624505928854,0.7114624505928854,1.4229249011857708,45.936300624391365,3.0
Matheus Cunha,Brazil,Brazil,FW,FW,27,Manchester Utd,5,4,290.0,3.0,0.0,11.0,5.0,3.0,3.0,0.9310344827586207,0.0,3.413793103448276,1.5517241379310345,0.9310344827586207,0.9310344827586207,0.9310344827586207,45.68290854572714,1.0
Nicolas Pépé,Côte d'Ivoire,Côte d'Ivoire,FW,FW,31,Villarreal,4,3,234.0,2.0,1.0,6.0,3.0,3.0,0.0,0.7692307692307693,0.38461538461538464,2.3076923076923075,1.1538461538461537,1.1538461538461537,0.0,1.153846153846154,45.21150749411619,1.0
Ørjan Nyland,Norway,Norway,GK,GK,35,Sevilla,5,5,480.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,45.01650165016501,
Cody Gakpo,Netherlands,Netherlands,FW,FW,27,Liverpool,4,4,368.0,3.0,1.0,10.0,6.0,2.0,1.0,0.733695652173913,0.24456521739130435,2.4456521739130435,1.467391304347826,0.4891304347826087,0.24456521739130435,0.9782608695652173,44.58057655954631,1.0
Andreas Schjelderup,Norway,Norway,FW,FW,22,Benfica,6,2,252.0,1.0,3.0,3.0,2.0,5.0,3.0,0.3571428571428571,1.0714285714285714,1.0714285714285714,0.7142857142857142,1.7857142857142856,1.0714285714285714,1.4285714285714284,43.92282033586381,3.0
Kai Havertz,Germany,Germany,FW,FW,27,Arsenal,4,4,353.0,3.0,0.0,12.0,7.0,1.0,2.0,0.764872521246459,0.0,3.059490084985836,1.7847025495750708,0.254957507082153,0.509915014164306,0.764872521246459,43.52198546619042,1.0
Bukayo Saka,England,England,MF,MF,24,Arsenal,7,3,358.0,3.0,3.0,13.0,7.0,1.0,7.0,0.7541899441340782,0.7541899441340782,3.2681564245810057,1.7597765363128492,0.25139664804469275,1.7597765363128492,1.5083798882681565,43.26212225957187,1.0
Alexander Isak,Sweden,Sweden,FW,FW,26,Liverpool,4,4,357.0,1.0,3.0,8.0,6.0,0.0,2.0,0.25210084033613445,0.7563025210084033,2.0168067226890756,1.5126050420168067,0.0,0.5042016806722689,1.0084033613445378,42.85430114074615,1.0
Folarin Balogun,United States,United States,FW,FW,24,Monaco,4,4,312.0,3.0,0.0,14.0,5.0,1.0,0.0,0.8653846153846154,0.0,4.038461538461538,1.442307692307692,0.28846153846153844,0.0,0.8653846153846154,42.46167781493868,1.0
Orlando Mosquera,Panama,Panama,GK,GK,31,Al-Fayha,3,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.980198019801975,
Merchas Doski,Iraq,Iraq,DF,DF,26,Viktoria Plzeň,3,3,270.0,0.0,0.0,1.0,0.0,6.0,9.0,0.0,0.0,0.33333333333333337,0.0,2.0,3.0,0.0,41.961926961926956,0.0
Mostafa Shobeir,Egypt,Egypt,GK,GK,26,Unknown Club,5,5,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.71617161716172,
Johan Manzambi,Switzerland,Switzerland,"MF,FW",MF,20,Freiburg,4,2,199.0,3.0,2.0,6.0,3.0,0.0,0.0,1.3567839195979898,0.9045226130653267,2.7135678391959797,1.3567839195979898,0.0,0.0,2.2613065326633164,41.4398077343238,1.0
Uğurcan Çakır,Türkiye,Turkey,GK,GK,30,Galatasaray,3,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.59405940594059,
Cristiano Ronaldo,Portugal,Portugal,FW,FW,41,Al-Nassr,5,5,440.0,3.0,0.0,18.0,9.0,1.0,1.0,0.6136363636363636,0.0,3.6818181818181817,1.8409090909090908,0.20454545454545453,0.20454545454545453,0.6136363636363636,39.72381422924901,1.0
Khuliso Mudau,South Africa,South Africa,DF,DF,31,Sundowns,4,4,360.0,0.0,0.0,0.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,2.75,2.0,0.0,39.644230769230774,0.0
Matej Kovar,Czechia,Czech Republic,GK,GK,26,PSV,3,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.603960396039604,
Jonathan David,Canada,Canada,FW,FW,26,Juventus,5,5,420.0,3.0,0.0,18.0,8.0,3.0,1.0,0.6428571428571428,0.0,3.857142857142857,1.7142857142857144,0.6428571428571428,0.2142857142857143,0.6428571428571428,39.09730848861284,1.0
Alexander Schlager,Austria,Austria,GK,GK,30,RB Salzburg,4,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.009900990099005,
Amad Diallo,Côte d'Ivoire,Côte d'Ivoire,"MF,FW",MF,23,Manchester Utd,4,2,185.0,2.0,0.0,8.0,4.0,2.0,4.0,0.972972972972973,0.0,3.891891891891892,1.945945945945946,0.972972972972973,1.945945945945946,0.972972972972973,38.40937988764076,1.0
Johny Placide,Haiti,Haiti,GK,GK,38,Bastia,3,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.21782178217821,
Mohamed Amine Ben Hamida,Tunisia,Tunisia,DF,DF,30,Unknown Club,3,2,202.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.44554455445544555,4.00990099009901,0.0,37.73713909852523,0.0
Luca Zidane,Algeria,Algeria,GK,GK,28,Granada,3,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.68976897689769,
Musa Al-Taamari,Jordan,Jordan,FW,FW,29,Rennes,3,2,215.0,1.0,1.0,8.0,3.0,0.0,0.0,0.41860465116279066,0.41860465116279066,3.3488372093023253,1.255813953488372,0.0,0.0,0.8372093023255813,36.86585776879002,1.0
Viktor Gyökeres,Sweden,Sweden,FW,FW,28,Arsenal,4,4,360.0,1.0,2.0,12.0,6.0,0.0,1.0,0.25,0.5,3.0,1.5,0.0,0.25,0.75,36.66384863123994,1.0
Felix Nmecha,Germany,Germany,MF,MF,25,Dortmund,4,4,270.0,1.0,1.0,8.0,3.0,2.0,9.0,0.33333333333333337,0.33333333333333337,2.666666666666667,1.0,0.6666666666666667,3.0,0.6666666666666667,36.62097751952824,3.0
Ayase Ueda,Japan,Japan,FW,FW,27,Feyenoord,4,4,321.0,2.0,1.0,9.0,4.0,0.0,1.0,0.5607476635514018,0.2803738317757009,2.5233644859813085,1.1214953271028036,0.0,0.2803738317757009,0.8411214953271027,36.2526524899544,1.0
Mahmoud Abunada,Qatar,Qatar,GK,GK,26,Unknown Club,3,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.97359735973597,
Jude Bellingham,England,England,MF,MF,22,Real Madrid,8,7,614.0,7.0,1.0,19.0,13.0,3.0,10.0,1.0260586319218241,0.1465798045602606,2.785016286644951,1.9055374592833876,0.43973941368078173,1.4657980456026058,1.1726384364820848,35.74120905766565,1.0
Livano Comenencia,Curaçao,Curaçao,MF,MF,22,Zürich,3,3,233.0,1.0,0.0,5.0,2.0,11.0,1.0,0.38626609442060084,0.0,1.9313304721030042,0.7725321888412017,4.24892703862661,0.38626609442060084,0.38626609442060084,35.631623772135065,0.0
Aurélien Tchouaméni,France,France,MF,MF,26,Real Madrid,4,4,360.0,0.0,1.0,3.0,0.0,6.0,14.0,0.0,0.25,0.75,0.0,1.5,3.5,0.25,34.73174048174048,0.0
Max Crocombe,New Zealand,New Zealand,GK,GK,32,Millwall,3,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.587458745874585,
Charles De Ketelaere,Belgium,Belgium,"FW,MF",MF,25,Atalanta,5,5,350.0,3.0,1.0,6.0,5.0,5.0,4.0,0.7714285714285715,0.2571428571428571,1.542857142857143,1.2857142857142856,1.2857142857142856,1.0285714285714285,1.0285714285714285,34.29489206445729,1.0
Pape Gueye,Senegal,Senegal,MF,MF,27,Villarreal,4,3,234.0,2.0,1.0,8.0,3.0,4.0,1.0,0.7692307692307693,0.38461538461538464,3.076923076923077,1.1538461538461537,1.5384615384615385,0.38461538461538464,1.153846153846154,33.77859289230527,1.0
Ali Abdi,Tunisia,Tunisia,DF,DF,32,Nice,3,3,269.0,0.0,0.0,1.0,0.0,4.0,8.0,0.0,0.0,0.33457249070631967,0.0,1.3382899628252787,2.6765799256505574,0.0,33.763485585046915,0.0
Malik Tillman,United States,United States,MF,MF,24,Leverkusen,5,4,356.0,2.0,1.0,8.0,4.0,5.0,7.0,0.5056179775280899,0.25280898876404495,2.0224719101123596,1.0112359550561798,1.2640449438202246,1.7696629213483146,0.7584269662921348,33.74391343065012,3.0
Matías Galarza,Paraguay,Paraguay,MF,MF,24,Atlanta Utd,4,4,388.0,1.0,1.0,2.0,1.0,7.0,11.0,0.23195876288659795,0.23195876288659795,0.4639175257731959,0.23195876288659795,1.6237113402061853,2.551546391752577,0.4639175257731959,33.56533780726967,0.0
Yazan Al-Arab,Jordan,Jordan,DF,DF,30,FC Seoul,3,3,270.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,3.666666666666667,0.33333333333333337,0.0,33.035612535612536,0.0
Fernando Muslera,Uruguay,Uruguay,GK,GK,39,Galatasaray,3,3,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.003300330033,
Manuel Neuer,Germany,Germany,GK,GK,40,Bayern Munich,4,4,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.003300330033,
Yazeed Abulaila,Jordan,Jordan,GK,GK,33,Unknown Club,3,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.003300330033,
Marcos Llorente,Spain,Spain,DF,DF,31,Atlético Madrid,3,2,187.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,0.48128342245989303,0.0,0.0,0.48128342245989303,2.8877005347593587,0.48128342245989303,32.9896039789088,3.0
Dayot Upamecano,France,France,DF,DF,27,Bayern Munich,8,7,660.0,0.0,1.0,4.0,2.0,15.0,12.0,0.0,0.13636363636363635,0.5454545454545454,0.2727272727272727,2.0454545454545454,1.6363636363636362,0.13636363636363635,32.93967725291835,0.0
Stefan Posch,Austria,Austria,DF,DF,29,Mainz 05,4,4,331.0,0.0,0.0,3.0,0.0,10.0,4.0,0.0,0.0,0.8157099697885197,0.0,2.719033232628399,1.0876132930513596,0.0,31.637758012380367,0.0
Mikel Merino,Spain,Spain,MF,MF,29,Arsenal,8,1,199.0,2.0,0.0,5.0,3.0,3.0,2.0,0.9045226130653267,0.0,2.261306532663317,1.3567839195979898,1.3567839195979898,0.9045226130653267,0.9045226130653267,31.360799640240323,1.0
Ferran Torres,Spain,Spain,FW,FW,26,Barcelona,8,1,288.0,1.0,1.0,14.0,4.0,0.0,0.0,0.3125,0.3125,4.375,1.25,0.0,0.0,0.625,31.19363929146538,1.0
Saud Abdulhamid,Saudi Arabia,Saudi Arabia,DF,DF,26,Lens,3,3,269.0,0.0,0.0,2.0,0.0,2.0,9.0,0.0,0.0,0.6691449814126393,0.0,0.6691449814126393,3.011152416356877,0.0,31.09392466269789,0.0
Denis Zakaria,Switzerland,Switzerland,DF,DF,29,Monaco,4,4,357.0,0.0,0.0,5.0,2.0,9.0,5.0,0.0,0.0,1.2605042016806722,0.5042016806722689,2.26890756302521,1.2605042016806722,0.0,31.091589569850438,0.0
Elijah Just,New Zealand,New Zealand,MF,MF,26,Motherwell,3,3,264.0,3.0,0.0,7.0,5.0,2.0,3.0,1.0227272727272727,0.0,2.3863636363636362,1.7045454545454546,0.6818181818181819,1.0227272727272727,1.0227272727272727,31.016750048370607,1.0
Alex Freeman,United States,United States,DF,DF,21,Villarreal,5,4,374.0,1.0,1.0,4.0,1.0,7.0,6.0,0.24064171122994651,0.24064171122994651,0.9625668449197861,0.24064171122994651,1.6844919786096255,1.4438502673796794,0.48128342245989303,30.969906440145923,0.0
Yoane Wissa,Congo DR,Congo DR,FW,FW,29,Newcastle,4,4,360.0,3.0,0.0,11.0,3.0,0.0,1.0,0.75,0.0,2.75,0.75,0.0,0.25,0.75,30.924516908212563,1.0
Alan Franco,Ecuador,Ecuador,DF,DF,27,Atlético Mineiro,4,4,251.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,1.4342629482071714,2.151394422310757,0.0,30.092218538433674,0.0
Ramin Rezaeian,IR Iran,Iran,"DF,MF",DF,36,Foolad,3,3,270.0,2.0,1.0,4.0,2.0,2.0,5.0,0.6666666666666667,0.33333333333333337,1.3333333333333335,0.6666666666666667,0.6666666666666667,1.6666666666666665,1.0,29.914143290954886,3.0
Michael Olise,France,France,MF,MF,24,Bayern Munich,8,8,646.0,0.0,7.0,20.0,5.0,3.0,8.0,0.0,0.9752321981424149,2.7863777089783284,0.6965944272445821,0.4179566563467492,1.1145510835913313,0.9752321981424149,29.76584628186459,3.0
Deroy Duarte,Cabo Verde,Cape Verde,MF,MF,26,Ludogorets,4,2,264.0,1.0,0.0,3.0,2.0,6.0,5.0,0.34090909090909094,0.0,1.0227272727272727,0.6818181818181819,2.0454545454545454,1.7045454545454546,0.34090909090909094,29.693395646952958,0.0
Djed Spence,England,England,DF,DF,25,Tottenham,8,4,404.0,0.0,0.0,2.0,2.0,5.0,10.0,0.0,0.0,0.44554455445544555,0.44554455445544555,1.113861386138614,2.227722772277228,0.0,29.597326371433137,0.0
Pedro Vite,Ecuador,Ecuador,MF,MF,24,UNAM,4,4,360.0,0.0,1.0,4.0,1.0,5.0,11.0,0.0,0.25,1.0,0.25,1.25,2.75,0.25,29.548870815175164,0.0
Breel Embolo,Switzerland,Switzerland,FW,FW,29,Rennes,6,6,501.0,2.0,2.0,10.0,5.0,2.0,0.0,0.35928143712574845,0.35928143712574845,1.7964071856287425,0.8982035928143712,0.35928143712574845,0.0,0.7185628742514969,29.53035957071365,1.0
Xaver Schlager,Austria,Austria,MF,MF,28,RB Leipzig,4,4,238.0,0.0,1.0,1.0,0.0,7.0,3.0,0.0,0.37815126050420167,0.37815126050420167,0.0,2.6470588235294117,1.134453781512605,0.37815126050420167,29.517982017982014,0.0
Pedro Porro,Spain,Spain,DF,DF,26,Tottenham,6,6,563.0,2.0,0.0,7.0,3.0,8.0,11.0,0.3197158081705151,0.0,1.119005328596803,0.47957371225577267,1.2788632326820604,1.7584369449378332,0.3197158081705151,29.440260617185476,0.0
Lucas Paquetá,Brazil,Brazil,MF,MF,28,Flamengo,4,4,233.0,0.0,1.0,5.0,1.0,5.0,4.0,0.0,0.38626609442060084,1.9313304721030042,0.38626609442060084,1.9313304721030042,1.5450643776824033,0.38626609442060084,29.246852233416888,0.0
Ismael Saibari,Morocco,Morocco,FW,FW,25,PSV,5,5,381.0,3.0,0.0,10.0,3.0,0.0,2.0,0.7086614173228346,0.0,2.3622047244094486,0.7086614173228346,0.0,0.47244094488188976,0.7086614173228346,29.220015976263834,1.0
Emmanuel Agbadou,Côte d'Ivoire,Côte d'Ivoire,DF,DF,28,Beşiktaş,3,3,270.0,0.0,0.0,3.0,1.0,4.0,6.0,0.0,0.0,1.0,0.33333333333333337,1.3333333333333335,2.0,0.0,29.093780615519744,0.0
Nathaniel Brown,Germany,Germany,DF,DF,22,Frankfurt,3,3,282.0,1.0,1.0,3.0,2.0,2.0,6.0,0.3191489361702128,0.3191489361702128,0.9574468085106382,0.6382978723404256,0.6382978723404256,1.9148936170212765,0.6382978723404256,29.000357233474716,3.0
Luis Romo,Mexico,Mexico,MF,MF,31,Guadalajara,4,4,264.0,1.0,1.0,3.0,1.0,4.0,4.0,0.34090909090909094,0.34090909090909094,1.0227272727272727,0.34090909090909094,1.3636363636363638,1.3636363636363638,0.6818181818181819,28.831961297376317,0.0
Abdallah Nasib,Jordan,Jordan,DF,DF,32,Unknown Club,3,3,260.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,2.4230769230769234,1.0384615384615385,0.0,28.7822754168908,0.0
Ismaila Sarr,Senegal,Senegal,"MF,FW",MF,28,Crystal Palace,4,4,364.0,4.0,1.0,17.0,6.0,2.0,1.0,0.989010989010989,0.24725274725274726,4.2032967032967035,1.4835164835164836,0.4945054945054945,0.24725274725274726,1.2362637362637363,28.585040934539265,1.0
