player,team,team_country,position,age,birth_year,club,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,own_goals,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,goals_per90_calc,assists_per90_calc,shots_per90_calc,shots_on_target_per90_calc,interceptions_per90_calc,tackles_won_per90_calc,fouls_per90_calc,crosses_per90_calc,goal_contribution_per90,primary_position,player_cluster
Nahuel Molina,Argentina,Argentina,DF,28,1998,Atlético Madrid,7,5,528.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.17,0.0,0.0,0.0,75.0,65.2,84.0,1,2,54.0,1,2.57,7.0,7.0,0.0,0.0,-3.51,0.0,3.0,0.0,1.0,5.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17045454545454547,0.0,1.3636363636363638,0.5113636363636364,0.5113636363636364,0.8522727272727273,0.0,DF,2
Nicolás González,Argentina,Argentina,MF,28,1998,Atlético Madrid,7,1,259.0,2.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.0,0.35,7.0,1.0,14.3,2.43,0.35,0.0,0.0,37.0,32.0,45.0,0,6,36.0,1,2.57,12.0,2.0,10.0,3.47,3.31,0.0,4.0,3.0,2.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3474903474903475,2.4324324324324325,0.3474903474903475,0.3474903474903475,1.0424710424710424,1.38996138996139,2.0849420849420848,0.3474903474903475,MF,3
Nicolás Otamendi,Argentina,Argentina,DF,38,1988,Benfica,7,1,247.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.36,0.0,0.0,0.0,35.0,30.5,90.0,1,6,26.0,1,2.57,8.0,2.0,6.0,2.19,1.39,0.0,4.0,4.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3643724696356275,0.0,2.1862348178137654,0.728744939271255,1.45748987854251,0.0,0.0,DF,0
Nicolás Tagliafico,Argentina,Argentina,DF,33,1992,Lyon,7,5,476.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,58.8,86.0,2,2,22.0,1,2.57,7.0,6.0,1.0,0.19,-2.51,0.0,9.0,16.0,2.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.134453781512605,0.7563025210084033,1.7016806722689075,0.37815126050420167,0.0,DF,2
Rodrigo De Paul,Argentina,Argentina,MF,32,1994,Inter Miami,7,6,491.0,5.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.18,0.18,0.0,0.18,2.0,1.0,50.0,0.37,0.18,0.0,0.0,70.0,60.6,79.0,1,1,19.0,1,2.57,8.0,3.0,5.0,0.92,-0.78,0.0,2.0,5.0,1.0,14.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18329938900203666,0.3665987780040733,0.18329938900203666,1.0997963340122199,0.7331975560081466,0.3665987780040733,2.5661914460285136,0.18329938900203666,MF,2
Thiago Almada,Argentina,Argentina,MF,25,2001,Atlético Madrid,5,3,241.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,40.0,1.87,0.75,0.0,0.0,48.0,29.8,60.0,0,2,31.0,3,3.0,6.0,1.0,5.0,1.87,0.92,0.0,2.0,2.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8672199170124482,0.7468879668049793,0.0,1.4937759336099585,0.7468879668049793,0.37344398340248963,0.0,MF,2
Aiden O'Neill,Australia,Australia,MF,27,1998,NYCFC,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,90.0,92.3,90.0,3,0,0.0,0,1.25,3.0,3.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,2.5,0.0,MF,2
Alessandro Circati,Australia,Australia,DF,22,2003,Parma,4,4,390.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.69,0.0,0.0,0.0,98.0,100.0,98.0,4,0,0.0,0,1.25,3.0,3.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6923076923076923,0.0,0.46153846153846156,1.6153846153846152,1.1538461538461537,0.46153846153846156,0.0,DF,2
Aziz Behich,Australia,Australia,MF,35,1990,Melb City,3,2,217.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.41,0.41,0.0,0.0,72.0,55.6,105.0,2,1,7.0,1,1.67,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,6.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4147465437788018,0.4147465437788018,0.4147465437788018,1.6589861751152073,0.4147465437788018,2.4884792626728114,0.0,MF,2
Connor Metcalfe,Australia,Australia,MF,26,1999,St Pauli,4,3,315.0,3.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.29,0.0,0.29,0.29,0.29,5.0,2.0,40.0,1.43,0.57,0.2,0.5,79.0,80.8,90.0,2,1,45.0,0,1.25,3.0,1.0,2.0,0.57,2.97,0.0,1.0,0.0,0.0,8.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,1.4285714285714284,0.5714285714285714,0.5714285714285714,1.4285714285714284,0.2857142857142857,2.2857142857142856,0.2857142857142857,MF,2
