player,team,primary_position,minutes,goals,assists,player_rating_100
Tarik Muharemovic,Bosnia–Herz,DF,259.0,0.0,0.0,25.851445851445852
Christ Inao Oulaï,Côte d'Ivoire,MF,208.0,0.0,0.0,25.778308230231307
Bradley Barcola,France,MF,384.0,3.0,1.0,25.742266678068315
Wilson Isidor,Haiti,FW,186.0,1.0,0.0,25.63736948729936
Abduvohid Nematov,Uzbekistan,GK,180.0,0.0,0.0,25.412541254125408
Elliot Anderson,England,MF,632.0,0.0,1.0,25.394472753443587
Mohamed Hany,Egypt,DF,480.0,0.0,1.0,25.353583916083917
Krépin Diatta,Senegal,DF,390.0,0.0,0.0,25.30831988524296
Marcus Rashford,England,MF,223.0,1.0,1.0,25.156250781128925
Lee Gi-hyuk,Korea Republic,DF,270.0,0.0,0.0,25.056591556591556
Facundo Medina,Argentina,DF,308.0,0.0,1.0,24.918944691671964
Deveron Fonville,Curaçao,DF,241.0,0.0,0.0,24.89902213968604
Nathan Ngoy,Belgium,DF,335.0,0.0,0.0,24.6209163970358
Frenkie de Jong,Netherlands,MF,328.0,0.0,0.0,24.57146512024561
Dan Ndoye,Switzerland,MF,406.0,2.0,0.0,24.432698735547316
Désiré Doué,France,MF,400.0,1.0,1.0,24.4001798925712
João Cancelo,Portugal,DF,312.0,0.0,1.0,24.375896539358077
Noor Al Rawabdeh,Jordan,MF,270.0,0.0,1.0,24.304325304325307
Martin Ødegaard,Norway,MF,470.0,0.0,4.0,24.254837207196136
Nicolás Otamendi,Argentina,DF,247.0,0.0,0.0,24.200050961184566
Kaishū Sano,Japan,MF,270.0,1.0,1.0,24.145667000739472
Abdulelah Al-Amri,Saudi Arabia,DF,239.0,1.0,0.0,24.110319975337255
Michal Sadílek,Czechia,MF,183.0,1.0,0.0,23.95949184259947
Daniel Muñoz,Colombia,DF,394.0,2.0,0.0,23.894431728795002
Rodrigo Bentancur,Uruguay,MF,270.0,0.0,0.0,23.842916342916343
Amar Dedić,Bosnia–Herz,DF,270.0,0.0,0.0,23.68831571005484
Milad Mohammadi,IR Iran,DF,205.0,0.0,0.0,23.626159630401407
Hannibal Mejbri,Tunisia,MF,270.0,0.0,2.0,23.61605463779377
Sphephelo Sithole,South Africa,MF,229.0,0.0,0.0,23.486884294744556
Chris Wood,New Zealand,FW,270.0,0.0,2.0,23.38969404186796
Aaron Wan-Bissaka,Congo DR,DF,354.0,0.0,0.0,23.299454782505627
Saman Ghoddos,IR Iran,MF,208.0,0.0,0.0,23.232416621839704
Lewis Ferguson,Scotland,MF,270.0,0.0,0.0,23.12382464556378
Pico,Cabo Verde,DF,390.0,0.0,0.0,23.10928814774968
