player,team,minutes,interceptions,tackles_won,goals,assists,defensive_output
Luc De Fougerolles,Canada,372.0,2.0,6.0,0.0,0.0,0.7016129032258064
Mathías Olivera,Uruguay,270.0,2.0,4.0,0.0,0.0,0.7
Andrés Andrade Cedeño,Panama,270.0,3.0,3.0,0.0,0.0,0.7
Shoja' Khalilzadeh,IR Iran,270.0,3.0,3.0,0.0,0.0,0.7
Rúben Dias,Portugal,360.0,5.0,3.0,0.0,0.0,0.7
Danilo,Brazil,405.0,7.0,2.0,0.0,0.0,0.6999999999999998
Odilon Kossounou,Côte d'Ivoire,272.0,3.0,3.0,0.0,0.0,0.6948529411764706
Maxim De Cuyper,Belgium,442.0,6.0,2.0,0.0,0.0,0.6923076923076924
Ricardo Rodríguez,Switzerland,517.0,4.0,7.0,0.0,1.0,0.6876208897485494
Jesús Gallardo,Mexico,373.0,7.0,1.0,0.0,0.0,0.6756032171581767
Ezri Konsa,England,647.0,8.0,5.0,1.0,0.0,0.6746522411128284
Jordy Bos,Australia,308.0,3.0,3.0,0.0,0.0,0.672077922077922
Hamdy Fathy,Egypt,238.0,2.0,3.0,0.0,0.0,0.6617647058823528
Nicolás Tagliafico,Argentina,476.0,6.0,4.0,0.0,0.0,0.6617647058823528
Noussair Mazraoui,Morocco,477.0,2.0,8.0,0.0,0.0,0.660377358490566
Torbjørn Heggem,Norway,443.0,2.0,7.0,0.0,0.0,0.6602708803611739
Denzel Dumfries,Netherlands,390.0,1.0,6.0,0.0,2.0,0.6576923076923078
Nahuel Molina,Argentina,528.0,8.0,3.0,0.0,0.0,0.65625
Maxence Lacroix,France,241.0,3.0,2.0,0.0,0.0,0.6535269709543569
Finn Surman,New Zealand,270.0,4.0,1.0,1.0,0.0,0.65
Yasser Ibrahim,Egypt,467.0,3.0,6.0,1.0,0.0,0.6456102783725911
Josip Stanišić,Croatia,360.0,5.0,2.0,0.0,1.0,0.6375000000000001
Jan Paul van Hecke,Netherlands,390.0,4.0,3.0,1.0,0.0,0.6346153846153846
Micky van de Ven,Netherlands,265.0,2.0,3.0,0.0,0.0,0.6283018867924528
Yan Valery,Tunisia,251.0,4.0,1.0,0.0,0.0,0.6274900398406374
Israel Reyes,Mexico,202.0,3.0,1.0,0.0,0.0,0.6237623762376237
Ime Okon,South Africa,360.0,5.0,2.0,0.0,0.0,0.6125
Aïssa Mandi,Algeria,360.0,4.0,3.0,0.0,0.0,0.6124999999999999
Chris Richards,United States,360.0,4.0,3.0,0.0,0.0,0.6124999999999999
Tim Ream,United States,360.0,6.0,1.0,0.0,0.0,0.6124999999999999
David Alaba,Austria,275.0,4.0,1.0,0.0,1.0,0.6054545454545454
Tim Payne,New Zealand,224.0,1.0,3.0,0.0,1.0,0.6026785714285713
Jonas Adjetey,Ghana,225.0,1.0,3.0,0.0,0.0,0.6000000000000001
Alistair Johnston,Canada,450.0,6.0,2.0,0.0,0.0,0.6000000000000001
Reece James,England,319.0,3.0,3.0,0.0,0.0,0.5924764890282131
Isak Hien,Sweden,216.0,1.0,3.0,0.0,0.0,0.5833333333333333
Lee Han-beom,Korea Republic,270.0,3.0,2.0,0.0,0.0,0.5833333333333333
Jules Koundé,France,599.0,3.0,8.0,0.0,0.0,0.5784641068447411
Ismail Jakobs,Senegal,219.0,2.0,2.0,0.0,0.0,0.5753424657534246
Issa Diop,Morocco,476.0,7.0,1.0,1.0,0.0,0.5672268907563025
Nico O'Reilly,England,461.0,5.0,3.0,0.0,0.0,0.5661605206073752
Davinson Sánchez,Colombia,480.0,6.0,2.0,0.0,0.0,0.5624999999999999
Kim Min-jae,Korea Republic,245.0,2.0,2.0,0.0,0.0,0.5510204081632653
Ladislav Krejčí,Czechia,270.0,1.0,3.0,1.0,0.0,0.5333333333333333
Johan Mojica,Colombia,390.0,3.0,3.0,0.0,0.0,0.5307692307692307
Derek Cornelius,Canada,315.0,2.0,3.0,0.0,0.0,0.5285714285714286
Arthur Masuaku,Congo DR,315.0,0.0,5.0,0.0,1.0,0.5285714285714285
Grant Hanley,Scotland,180.0,1.0,2.0,0.0,0.0,0.5249999999999999
Nuno Mendes,Portugal,395.0,0.0,6.0,1.0,0.0,0.5240506329113923
Steven Moreira,Cabo Verde,301.0,2.0,3.0,0.0,0.0,0.5232558139534884
