team,goals,goals_against,goal_difference,shots_on_target,possession,gk_clean_sheets,points_per_game,attack_score,shot_quality_score,possession_score,clean_sheet_score,points_score,defensive_score,overall_performance_score
Netherlands,10,5,5,22,53.3,0,2.0,0.5,0.3508771929824561,0.6418732782369145,0.0,0.7272727272727273,0.6363636363636364,0.48272799768015084
Canada,8,6,2,31,54.4,2,1.4,0.4,0.5087719298245614,0.6721763085399449,0.2857142857142857,0.509090909090909,0.5454545454545454,0.4700269268211852
United States,9,8,1,19,56.8,2,1.8,0.45,0.2982456140350877,0.7382920110192838,0.2857142857142857,0.6545454545454545,0.36363636363636365,0.4593777315188799
Norway,12,11,1,29,52.2,0,2.0,0.6,0.47368421052631576,0.6115702479338844,0.0,0.7272727272727273,0.09090909090909094,0.4413005654632449
Côte d'Ivoire,5,4,1,14,49.8,2,1.5,0.25,0.21052631578947367,0.5454545454545454,0.2857142857142857,0.5454545454545454,0.7272727272727273,0.40966336295283656
Egypt,8,5,3,18,51.4,0,1.2,0.4,0.2807017543859649,0.5895316804407713,0.0,0.43636363636363634,0.6363636363636364,0.3837857039292446
Japan,8,5,3,13,46.3,1,1.25,0.4,0.19298245614035087,0.44903581267217624,0.14285714285714285,0.45454545454545453,0.6363636363636364,0.38164315748047806
Croatia,6,7,-1,17,49.8,1,1.5,0.3,0.2631578947368421,0.5454545454545454,0.14285714285714285,0.5454545454545454,0.4545454545454546,0.36772043745727956
Senegal,10,9,1,23,55.3,1,0.75,0.5,0.3684210526315789,0.6969696969696969,0.14285714285714285,0.2727272727272727,0.2727272727272727,0.3668432444748234
Australia,2,2,0,12,41.0,2,1.25,0.1,0.17543859649122806,0.30303030303030304,0.2857142857142857,0.45454545454545453,0.9090909090909091,0.3517486899065846
Ecuador,2,4,-2,20,55.8,1,1.0,0.1,0.3157894736842105,0.7107438016528925,0.14285714285714285,0.36363636363636365,0.7272727272727273,0.3466895544646741
Türkiye,3,5,-2,16,66.3,0,1.0,0.15,0.24561403508771928,1.0,0.0,0.36363636363636365,0.6363636363636364,0.3425239234449761
Korea Republic,2,3,-1,11,63.0,0,1.0,0.1,0.15789473684210525,0.9090909090909092,0.0,0.36363636363636365,0.8181818181818181,0.33504784688995215
Cabo Verde,4,4,0,12,37.3,2,0.75,0.2,0.17543859649122806,0.2011019283746556,0.2857142857142857,0.2727272727272727,0.7272727272727273,0.30291948880465625
IR Iran,3,3,0,11,39.0,1,1.0,0.15,0.15789473684210525,0.24793388429752067,0.14285714285714285,0.36363636363636365,0.8181818181818181,0.3028607158391847
South Africa,2,4,-2,11,48.0,1,1.0,0.1,0.15789473684210525,0.49586776859504134,0.14285714285714285,0.36363636363636365,0.7272727272727273,0.30151774063257314
Algeria,5,9,-4,15,61.0,0,1.0,0.25,0.22807017543859648,0.8539944903581268,0.0,0.36363636363636365,0.2727272727272727,0.2957463389879658
Uruguay,3,4,-1,13,55.0,0,0.67,0.15,0.19298245614035087,0.6887052341597797,0.0,0.24363636363636365,0.7272727272727273,0.29313607365521244
Sweden,7,10,-3,23,46.3,0,1.0,0.35,0.3684210526315789,0.44903581267217624,0.0,0.36363636363636365,0.18181818181818177,0.2876667391619545
Ghana,2,3,-1,4,36.3,2,1.0,0.1,0.03508771929824561,0.17355371900826438,0.2857142857142857,0.36363636363636365,0.8181818181818181,0.2859302181072516
Congo DR,5,5,0,9,40.0,0,1.0,0.25,0.12280701754385964,0.27548209366391185,0.0,0.36363636363636365,0.6363636363636364,0.27665108017978834
Scotland,1,4,-3,7,44.3,1,1.0,0.05,0.08771929824561403,0.39393939393939387,0.14285714285714285,0.36363636363636365,0.7272727272727273,0.26829858737753476
Paraguay,3,5,-2,8,30.0,2,1.0,0.15,0.10526315789473684,0.0,0.2857142857142857,0.36363636363636365,0.6363636363636364,0.2643284347231716
Bosnia–Herz,4,8,-4,14,46.0,0,1.0,0.2,0.21052631578947367,0.44077134986225897,0.0,0.36363636363636365,0.36363636363636365,0.25292880962737424
Austria,5,9,-4,8,45.0,0,1.0,0.25,0.10526315789473684,0.4132231404958678,0.0,0.36363636363636365,0.2727272727272727,0.23324815137016092
Saudi Arabia,1,4,-3,7,38.3,1,0.67,0.05,0.08771929824561403,0.22865013774104678,0.14285714285714285,0.24363636363636365,0.7272727272727273,0.22776966175770003
New Zealand,4,10,-6,15,47.0,0,0.33,0.2,0.22807017543859648,0.46831955922865015,0.0,0.12000000000000001,0.18181818181818177,0.18231520951138175
Czechia,2,6,-4,8,42.7,0,0.33,0.1,0.10526315789473684,0.34986225895316814,0.0,0.12000000000000001,0.5454545454545454,0.18159388139770916
Panama,0,4,-4,7,45.7,0,0.0,0.0,0.08771929824561403,0.4325068870523417,0.0,0.0,0.7272727272727273,0.16549949253298535
Jordan,3,7,-4,9,30.7,0,0.0,0.15,0.12280701754385964,0.019283746556473812,0.0,0.0,0.4545454545454546,0.1260312454690445
Qatar,2,8,-6,7,33.0,0,0.33,0.1,0.08771929824561403,0.08264462809917356,0.0,0.12000000000000001,0.36363636363636365,0.124967812092214
Curaçao,1,9,-8,7,32.3,1,0.33,0.05,0.08771929824561403,0.06336088154269966,0.14285714285714285,0.12000000000000001,0.2727272727272727,0.1183316452287744
Haiti,1,8,-7,7,42.7,0,0.0,0.05,0.08771929824561403,0.34986225895316814,0.0,0.0,0.36363636363636365,0.11518957517761347
Uzbekistan,2,10,-8,5,38.3,0,0.0,0.1,0.05263157894736842,0.22865013774104678,0.0,0.0,0.18181818181818177,0.08303247788893721
Tunisia,2,11,-9,6,39.3,0,0.0,0.1,0.07017543859649122,0.25619834710743794,0.0,0.0,0.09090909090909094,0.07478251413658112
Iraq,1,11,-10,2,38.3,0,0.0,0.05,0.0,0.22865013774104678,0.0,0.0,0.09090909090909094,0.049001377410468325
